,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0,0
1,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.5196676988036508,26
2,3,3,3,0,0,0,0,0.9595205845604203,0.9006414348301224,0.9595205845604203,0.9006414348301224,1.0,1,0.5360700648692991,27
3,5,8,8,0,0,0,0,0.9875240678821309,0.9650673900699667,0.9875240678821309,0.9650673900699667,1.0,1,0.5471778708754458,28
4,2,10,10,0,0,0,0,0.995111099741108,0.9858221892492133,0.995111099741108,0.9858221892492133,1.0,1,0.5338276095855322,29
5,5,15,15,0,0,0,0,0.9758630141188964,0.9363661281316362,0.9758630141188964,0.9363661281316362,1.0,1,0.5920753106137387,29
6,0,15,15,0,0,0,0,0.97812585654525,0.9363661281316362,0.97812585654525,0.9363661281316362,1.0,1,0.548022579200897,32
7,2,17,17,0,0,0,0,0.9922774722797555,0.9768324168392666,0.9922774722797555,0.9768324168392666,1.0,1,0.5540896196028783,33
8,2,19,19,0,0,0,0,0.9783134936904145,0.9309974799240462,0.9783134936904145,0.9309974799240462,1.0,1,0.4946378521604471,35
9,5,24,24,0,0,0,0,0.9513076380637318,0.857980611019218,0.9513076380637318,0.857980611019218,1.0,1,0.48217171878853243,35
10,1,25,25,0,0,0,0,0.9742557231079049,0.9180863917069705,0.9742557231079049,0.9180863917069705,1.0,1,0.48813862830381394,35
11,1,26,26,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.4506424333302859,35
12,2,28,28,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.459153331381592,34
13,2,30,30,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.48496546006623686,32
