,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
1,0,0,0,0,0,0,0,0.98097433050647,0.7747766735278289,1.0,1.0,0.98097433050647,0.7747766735278289,0.11954755369538234,26
2,2,2,2,0,0,0,0,0.9869777249472103,0.809824237807976,1.0,1.0,0.9869777249472103,0.809824237807976,0.1142066682664603,27
3,0,2,2,0,0,0,0,0.9749206027241764,0.5101714572172686,1.0,1.0,0.9749206027241764,0.5101714572172686,0.12688177972290193,28
4,2,4,4,0,0,0,0,0.9641441542369328,0.42302562872501087,1.0,1.0,0.9641441542369328,0.42302562872501087,0.1877255637742503,29
5,1,5,5,0,0,0,0,0.9739267400839272,0.5348815526492213,1.0,1.0,0.9739267400839272,0.5348815526492213,0.21296576095482472,29
6,1,6,6,0,0,0,0,0.98489502639029,0.6668916949291851,1.0,1.0,0.98489502639029,0.6668916949291851,0.20494739499712034,32
7,2,8,8,0,0,0,0,0.9905595151622156,0.7568346720807129,1.0,1.0,0.9905595151622156,0.7568346720807129,0.16650455906143202,33
8,3,11,11,0,0,0,0,0.9779037516132316,0.46361570093751203,1.0,1.0,0.9779037516132316,0.46361570093751203,0.15749534044457844,35
9,0,11,11,0,0,0,0,0.9857689690464669,0.6050532568269896,1.0,1.0,0.9857689690464669,0.6050532568269896,0.15749534044457844,35
10,1,12,12,0,0,0,0,0.9896316322560181,0.7287125990546124,1.0,1.0,0.9896316322560181,0.7287125990546124,0.10972843747434938,35
11,0,12,12,0,0,0,0,0.967853205519944,0.45460279827158323,1.0,1.0,0.967853205519944,0.45460279827158323,0.10040746463799372,35
12,2,14,14,0,0,0,0,0.9614772102563064,0.48622085658258746,1.0,1.0,0.9614772102563064,0.48622085658258746,0.10016364220500606,34
13,3,17,17,0,0,0,0,0.9659094655295498,0.3111643102891117,1.0,1.0,0.9659094655295498,0.3111643102891117,0.0928071115551402,32
14,1,18,18,0,0,0,0,0.9879829833669161,0.7223092832179786,1.0,1.0,0.9879829833669161,0.7223092832179786,0.09185915921731193,31
15,0,18,18,0,0,0,0,0.9898565848113191,0.7902158466978775,1.0,1.0,0.9898565848113191,0.7902158466978775,0.11475680127276573,30
16,0,18,18,0,0,0,0,0.9911329793788345,0.8285393963763433,1.0,1.0,0.9911329793788345,0.8285393963763433,0.15336703641078628,30
17,0,18,18,0,0,0,0,0.991197223115254,0.8392694853536812,1.0,1.0,0.991197223115254,0.8392694853536812,0.15955189918986704,29
18,0,18,18,0,0,0,0,0.9913263712799798,0.8430147821307257,1.0,1.0,0.9913263712799798,0.8430147821307257,0.15955189918986704,29
19,0,18,18,0,0,0,0,0.9910358947823201,0.8435550689162751,1.0,1.0,0.9910358947823201,0.8435550689162751,0.16774525187365052,28
20,0,18,18,0,0,0,0,0.9699491921455768,0.4095723261711891,1.0,1.0,0.9699491921455768,0.4095723261711891,0.19675911033725496,28
21,2,20,20,0,0,0,0,0.9734145035821103,0.545184763968158,1.0,1.0,0.9734145035821103,0.545184763968158,0.24786803652930348,28
22,3,23,23,0,0,0,0,0.9786656182157494,0.6725538323390984,1.0,1.0,0.9786656182157494,0.6725538323390984,0.25638531969272155,28
23,5,28,28,0,0,0,0,0.9569421365429489,0.44520185323002603,1.0,1.0,0.9569421365429489,0.44520185323002603,0.2690146858873976,27
24,3,31,31,0,0,0,0,0.9686286066660339,0.5811866080449797,1.0,1.0,0.9686286066660339,0.5811866080449797,0.1983584634692705,28
25,1,32,32,0,0,0,0,0.972465027713393,0.6867393307088898,1.0,1.0,0.972465027713393,0.6867393307088898,0.14072697189919287,28
26,1,33,33,0,0,0,0,0.9578333177533858,0.37776309185458634,1.0,1.0,0.9578333177533858,0.37776309185458634,0.1502596787400056,30
27,0,33,33,0,0,0,0,0.9636265587607791,0.5098725562831801,1.0,1.0,0.9636265587607791,0.5098725562831801,0.1569488019977587,30
28,0,33,33,0,0,0,0,0.9669803330673529,0.627463105214495,1.0,1.0,0.9669803330673529,0.627463105214495,0.1374144988125445,31
29,0,33,33,0,0,0,0,0.9684624984041115,0.7067071047548589,1.0,1.0,0.9684624984041115,0.7067071047548589,0.1251335376832895,30
30,1,34,34,0,0,0,0,0.9700364989483572,0.7527476291503877,1.0,1.0,0.9700364989483572,0.7527476291503877,0.1066429396829265,30
31,1,35,35,0,0,0,0,0.9732784192983032,0.7825441961765872,1.0,1.0,0.9732784192983032,0.7825441961765872,0.10767681535740298,31
32,0,35,35,0,0,0,0,0.9624843742260231,0.5160177131727607,1.0,1.0,0.9624843742260231,0.5160177131727607,0.10322558470752044,31
33,2,37,37,0,0,0,0,0.9716287166039264,0.6266782281507491,1.0,1.0,0.9716287166039264,0.6266782281507491,0.16550824214330528,31
