,SuccessfulHandoverCount,TotalSuccessfulHandoverCount,TotalSuccessfulHandoverCountRange,TotalSuccessfulHandoverCountLoadBalancing,TotalSuccessfulHandoverCountOverload,FailedHandoverCount,TotalFailedHandoverCount,AvgQoS,MinQoS,AvgQoS_LoadBased,MinQoS_LoadBased,AvgQoS_RangeBased,MinQoS_RangeBased,GiniLoad,VehicleCount
0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.0,0
1,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08481934425336168,26
2,2,2,0,2,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.04233497046973188,27
3,0,2,0,2,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.024156398101375477,28
4,1,3,1,2,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.028416165794257958,29
5,0,3,1,2,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.028416165794257958,29
6,1,4,1,3,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.03499386428580927,32
7,2,6,3,3,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06898668859814133,33
8,2,8,4,4,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.04449969497428216,35
9,2,10,6,4,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.04048622597889639,35
10,1,11,7,4,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.04761874902932385,35
11,2,13,9,4,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.05617493394523459,35
12,1,14,10,4,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.04590245059038388,34
13,0,14,10,4,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.04805272511189774,32
14,2,16,12,4,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.1343115397449255,31
15,2,18,13,5,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.08970897703026574,30
16,1,19,13,6,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06517097874631007,30
17,0,19,13,6,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.03755374349999908,29
18,0,19,13,6,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.03755374349999908,29
19,0,19,13,6,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.04175654186604332,28
20,2,21,14,7,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06664608165787983,28
21,1,22,15,7,0,0,0,1.0,1.0,1.0,1.0,1.0,1,0.06067937464503037,28
