Model,HO_Total,HO_Range,HO_LB,HO_Overload,HO_Failed,AvgQoSMean,AvgQoSStd,MinQoSMean,MinQoSStd,AvgQoS_Load,AvgQoS_Range,GiniMean,GiniStd,EvalSum,EvalProd
ARHC-Oracle,9622,3920,5702,0,0,0.9991100212525224,0.002980628973714389,0.9620597119427237,0.11447770684828798,1.0,0.9991100212525224,0.1287342131447889,0.04087712399149929,3.816291328850154,0.8208788166277591
ARHC-01s,10191,3756,6435,0,0,0.9991967023059458,0.0028489610495296405,0.9658317540663782,0.10836390958682957,1.0,0.9991967023059458,0.12894135351594663,0.04284896515859126,3.771336165545222,0.7769024414728968
ARHC-02s,10357,3781,6576,0,0,0.9990741326321391,0.0032104307372334676,0.9620965363398423,0.1165128925245787,1.0,0.9990741326321391,0.13141837228856693,0.043302361212771485,3.7358245485043824,0.7470494433310132
ARHC-03s,10879,3752,7127,0,0,0.9990718413402705,0.0033812790753121906,0.9630984354185999,0.11552003492600281,1.0,0.9990718413402705,0.13596526105202508,0.04413412576733422,3.66635824034749,0.688134764806578
ARHC-04s,11369,3747,7622,0,0,0.999039303086321,0.003383891646196225,0.9617297013163145,0.11462103918090526,1.0,0.999039303086321,0.13792331217705125,0.044811139561076664,3.619251139102702,0.6481845857408128
ARHC-05s,11926,3724,8202,0,0,0.9990799237767197,0.003218967458046597,0.9614565481088789,0.11539794984611128,1.0,0.9990799237767197,0.1435277727511215,0.04870514582109632,3.5491261191876733,0.593638670547914
ARHC-10s,16858,3577,13281,0,0,0.9988423483149294,0.003544607031673032,0.9517255140516883,0.13267451366266647,1.0,0.9988423483149294,0.1636328339058098,0.05273191141631337,3.229161046480923,0.3645484017498378
ARHC-15s,22151,3538,18613,0,21,0.998867157778588,0.003644557478522424,0.9536852192583003,0.12778030562626433,1.0,0.998867157778588,0.17856067223932595,0.05800405714955506,3.0499981169262527,0.2547749219015572
ARHC-20s,31150,3326,27824,0,59,0.9987197304146849,0.003670856405085127,0.9468263527178621,0.1361930190326135,1.0,0.9987197304146849,0.20389328994637446,0.06575568075685265,2.8471836989887804,0.1574983553078838
ARHC-25s,29192,3394,25798,0,86,0.9988762705204461,0.003284645323296173,0.9518146905825408,0.12507514742608747,1.0,0.9988762705204461,0.20580171835327735,0.06842087477047891,2.8640459905279587,0.1674072619927316
ARHC-30s,32391,3383,29008,0,1,0.9987111269084182,0.0036907281886767065,0.9452117527956377,0.13496977123282067,1.0,0.9987111269084182,0.21643139837209047,0.06847838743091342,2.79895704288359,0.142445069266831
EarliestHO,91727,91727,0,0,0,0.99717718448487,0.013370834626838109,0.9915113837113773,0.03852906132334328,0.99717718448487,1.0,0.36326311373521103,0.07744737835713184,2.441114190299862,0.03138879095879944
LatestHO,8141,8141,0,0,0,0.948076000604139,0.08388827669717154,0.9046757846477457,0.14156905095160932,0.948076000604139,1.0,0.6288040742929553,0.05001665474031025,3.065987832553529,0.1772417616060996
NearestRSU,13954,13954,0,0,0,0.9660544857233353,0.06093628349072656,0.9314116654181405,0.11401604180168047,0.9660544857233353,1.0,0.5927521305502796,0.05677807707022242,2.7068143462061816,0.11507857960285862
